task_id;receive_task_datetime;incident_latitude;incident_longitude;urgency_dispatcher;task_duration;station_name;shift_code;waiting_time;drive_time;change_delayed
22-22-789;Mon Jan 03 00:04:22 CET 2022;51.4318529495415;5.39883301761798;A2;2970.0;Eindhoven Noord;a_mo_su_23_8;0.0;936.0;0.4
22-22-792;Mon Jan 03 00:27:43 CET 2022;51.4310274271346;5.4575574796841;A2;2777.0;Eindhoven Zuid;a_mo_su_23_8;0.0;576.0;0.0
22-22-794;Mon Jan 03 00:46:41 CET 2022;51.4213925952002;5.46496258416448;A2;2529.0;Eindhoven Zuid;a_mo_su_23_8;0.0;432.0;0.0
22-22-799;Mon Jan 03 01:07:47 CET 2022;51.4594593125516;5.61251046392975;A1;1211.0;Helmond;a_mo_su_23_8;0.0;792.0;0.05
22-22-802;Mon Jan 03 01:39:52 CET 2022;51.3642654099144;5.70094113437007;A1;4078.0;Helmond;a_mo_su_23_8;0.0;1008.0;0.7
22-22-813;Mon Jan 03 02:05:22 CET 2022;51.447069924324;5.46483208519599;A1;1710.0;Eindhoven Noord;a_mo_su_23_8;0.0;504.0;0.0
22-22-809;Mon Jan 03 01:56:01 CET 2022;51.4492197781873;5.55710904632432;A2;3116.0;Helmond;a_mo_su_23_8;0.0;1080.0;1.0
22-22-815;Mon Jan 03 03:00:25 CET 2022;51.3927532746533;5.71633830356001;A1;3520.0;Helmond;a_mo_su_23_8;0.0;576.0;0.0
22-22-816;Mon Jan 03 03:11:43 CET 2022;51.4234946651948;5.56296784452908;A1;3842.0;Eindhoven Zuid;a_mo_su_23_8;0.0;720.0;0.01
22-22-821;Mon Jan 03 03:50:06 CET 2022;51.4732217661433;5.48988183178547;A1;2975.0;Eindhoven Noord;a_mo_su_23_8;0.0;504.0;0.0
22-22-820;Mon Jan 03 03:39:36 CET 2022;51.4135507971304;5.82140763579251;A1;3246.0;Helmond;a_mo_su_23_8;0.0;720.0;0.01
22-22-817;Mon Jan 03 03:18:22 CET 2022;51.4724896711387;5.26671880970597;A1;4693.0;Eersel;a_mo_su_23_8;0.0;1440.0;1.0
22-22-823;Mon Jan 03 04:09:49 CET 2022;51.4793404350329;5.48019543212292;A2;2190.0;Leende;a_mo_su_23_8;0.0;1440.0;1.0
22-22-827;Mon Jan 03 04:26:42 CET 2022;51.4391160794243;5.51891270102967;A1;2481.0;Eindhoven Zuid;a_mo_su_23_8;0.0;720.0;0.01
22-22-824;Mon Jan 03 04:16:26 CET 2022;51.3518584078366;5.45736263697776;A1;5611.0;Eindhoven Zuid;a_mo_su_23_8;0.0;720.0;0.01
22-22-831;Mon Jan 03 05:20:14 CET 2022;51.4462681545832;5.40674554055537;A1;2727.0;Eindhoven Noord;a_mo_su_23_8;0.0;792.0;0.05
22-22-832;Mon Jan 03 05:24:28 CET 2022;51.4730625883984;5.44536684035106;A1;2904.0;Eersel;a_mo_su_23_8;0.0;1440.0;1.0
22-22-835;Mon Jan 03 06:52:25 CET 2022;51.5075747039746;5.31352440375638;A1;2107.0;Eindhoven Noord;a_mo_su_23_8;0.0;1008.0;0.7
22-22-838;Mon Jan 03 07:01:38 CET 2022;51.4299021106321;5.40086492220765;A2;2358.0;Eindhoven Zuid;a_mo_su_7_8;0.0;936.0;0.4
22-22-842;Mon Jan 03 07:10:14 CET 2022;51.3521596176326;5.44866869280308;A2;1523.0;Eersel;a_mo_su_7_8;0.0;1080.0;1.0
